Cm,Ch,Bm,Bh,T,sR,sG,sB
0.001,0.0715445,0.5,0.75,0.25,7.4707,5.73816,5.7432
0.001,0.0790447,0.5,0.75,0.25,7.23991,5.50601,5.69573
0.001,0.0290279,0.5,0.75,0.25,9.16155,7.27769,6.88019
0.001,0.0255268,0.5,0.75,0.25,9.26587,7.51495,6.85093
0.001,0.0581572,0.5,0.75,0.25,7.95279,6.1033,5.95287
0.001,0.064591,0.5,0.75,0.25,7.73552,5.95865,5.78775
0.001,0.0194837,0.5,0.75,0.25,9.63828,7.77035,7.02191
0.001,0.0223524,0.5,0.75,0.25,9.49262,7.58124,6.84496
0.001,0.0125124,0.5,0.75,0.25,10.1138,8.45843,7.4771
0.001,0.0871198,0.5,0.75,0.25,7.25243,5.30348,5.56373
0.001,0.00634605,0.5,0.75,0.25,5.86069,9.45059,8.11755
0.001,0.0957984,0.5,0.75,0.25,7.253,5.23375,5.37885
0.001,0.00221673,0.5,0.75,0.25,6.20281,5.6121,8.8513
0.001,0.00172959,0.5,0.75,0.25,6.40743,5.64133,8.84851
0.001,0.001,0.5,0.75,0.25,6.23477,6.02677,8.88523
0.001,0.00132752,0.5,0.75,0.25,6.54758,5.73619,8.90112
0.001,0.0522165,0.5,0.75,0.25,8.03617,6.30415,6.16946
0.001,0.0467429,0.5,0.75,0.25,8.52491,6.60847,6.19676
0.001,0.0417114,0.5,0.75,0.25,8.66589,6.69989,6.32316
0.001,0.0169004,0.5,0.75,0.25,9.64884,8.03783,7.37835
0.001,0.014583,0.5,0.75,0.25,9.93516,8.35327,7.17551
0.001,0.0370974,0.5,0.75,0.25,8.82754,7.05964,6.42389
0.001,0.0106706,0.5,0.75,0.25,10.1395,8.59175,7.7739
0.001,0.0328773,0.5,0.75,0.25,8.89651,7.09203,6.61648
0.001,0.00760388,0.5,0.75,0.25,5.5644,9.28675,7.76972
0.001,0.10511,0.5,0.75,0.25,6.7192,5.03339,5.29937
0.001,0.00280018,0.5,0.75,0.25,6.21108,10.1847,8.42119
0.001,0.00349187,0.5,0.75,0.25,6.31852,10.0617,8.49517
0.001,0.115084,0.5,0.75,0.25,6.93594,4.92625,5.18916
0.001,0.00904004,0.5,0.75,0.25,5.6218,8.87022,7.92221
0.001,0.00430441,0.5,0.75,0.25,6.0078,9.72073,8.43686
0.001,0.00525113,0.5,0.75,0.25,5.81642,9.6077,8.33373
0.001,0.190618,0.5,0.75,0.25,5.73661,3.96651,4.65045
0.001,0.125752,0.5,0.75,0.25,6.65107,4.71979,4.96002
0.001,0.137144,0.5,0.75,0.25,6.42906,4.60082,5.01214
0.001,0.222573,0.5,0.75,0.25,5.35726,3.68806,4.51582
0.001,0.175997,0.5,0.75,0.25,5.88185,4.08649,4.63403
0.001,0.23998,0.5,0.75,0.25,5.18339,3.6037,4.4373
0.001,0.162234,0.5,0.75,0.25,6.19322,4.33104,4.69539
0.001,0.32,0.5,0.75,0.25,4.61784,3.01606,4.17313
0.001,0.149294,0.5,0.75,0.25,6.35721,4.41903,4.84419
0.001,0.298359,0.5,0.75,0.25,4.68583,3.09571,4.1765
0.001,0.277834,0.5,0.75,0.25,4.96517,3.25344,4.34993
0.001,0.258387,0.5,0.75,0.25,5.09146,3.37005,4.2841
0.001,0.206132,0.5,0.75,0.25,5.5827,3.82323,4.44047
0.00155147,0.00172959,0.5,0.75,0.25,6.04118,10.0922,8.37552
0.00155147,0.00132752,0.5,0.75,0.25,6.18214,10.0585,8.43599
0.00155147,0.001,0.5,0.75,0.25,6.17093,10.2911,8.30609
0.00155147,0.00525113,0.5,0.75,0.25,5.8041,9.16265,7.9337
0.00155147,0.00221673,0.5,0.75,0.25,5.96753,9.87397,8.14509
0.00155147,0.00349187,0.5,0.75,0.25,5.90103,9.56485,7.98092
0.00155147,0.00280018,0.5,0.75,0.25,5.93279,9.78315,8.02041
0.00155147,0.00430441,0.5,0.75,0.25,5.78071,9.29573,7.835
0.00155147,0.0106706,0.5,0.75,0.25,10.0636,8.52751,7.29867
0.00155147,0.0125124,0.5,0.75,0.25,9.82082,8.24806,7.20977
0.00155147,0.00760388,0.5,0.75,0.25,10.286,8.77359,7.6289
0.00155147,0.0169004,0.5,0.75,0.25,9.4171,7.90123,6.86679
0.00155147,0.00634605,0.5,0.75,0.25,5.58108,9.10537,7.60786
0.00155147,0.014583,0.5,0.75,0.25,9.75214,8.03773,6.98842
0.00155147,0.00904004,0.5,0.75,0.25,10.1658,8.61626,7.31467
0.00155147,0.0194837,0.5,0.75,0.25,9.38782,7.6454,6.73362
