Cm,Ch,Bm,Bh,T,sR,sG,sB
0.001,0.00982769,0,0,0.05,248.703,196.42,163.351
0.001,0.00982769,0,0.166667,0.05,247.519,195.482,163.949
0.001,0.00982769,0,0,0.01,247.585,194.4,156.615
0.001,0.00982769,0,0.166667,0.01,246.396,193.591,157.266
0.001,0.00982769,0,0.166667,0.09,248.459,197.419,167.795
0.001,0.00982769,0,0,0.09,249.471,198.359,167.52
0.001,0.00982769,0,0.166667,0.13,249.43,198.892,171.137
0.001,0.00982769,0,0.333333,0.01,245.243,192.695,157.911
0.001,0.00982769,0,0,0.13,250.265,199.734,170.908
0.001,0.00982769,0,0,0.17,250.913,201.163,173.937
0.001,0.00982769,0,0,0.21,251.494,202.362,176.353
0.001,0.00982769,0,0.166667,0.25,251.431,202.582,179.387
0.001,0.00982769,0,0.166667,0.17,250.328,200.378,174.178
0.001,0.00982769,0,0,0.25,251.973,203.308,179.145
0.001,0.00982769,0,0.166667,0.21,250.874,201.654,176.624
0.001,0.00982769,0,0.333333,0.09,247.463,197.161,168.695
0.001,0.00982769,0,0.333333,0.13,248.312,198.626,171.837
0.001,0.00982769,0,0.333333,0.17,248.988,200.253,174.787
0.001,0.00982769,0,0.333333,0.05,246.623,195.489,164.153
0.001,0.00982769,0,0.5,0.01,244.027,192.641,159.191
0.001,0.00982769,0,0.5,0.05,245.489,194.983,165.463
0.001,0.00982769,0,0.5,0.09,246.332,196.9,169.889
0.001,0.00982769,0,0.333333,0.21,249.555,201.691,177.8
0.001,0.00982769,0,0.333333,0.25,250.186,202.684,179.934
0.001,0.00982769,0,0.5,0.13,247.244,198.326,173.412
0.001,0.00982769,0,0.666667,0.01,243.221,191.585,160.906
0.001,0.00982769,0,0.5,0.17,248.168,199.697,176.269
0.001,0.00982769,0,0.5,0.21,248.745,200.895,178.712
0.001,0.00982769,0,0.666667,0.17,247.319,198.976,177.21
0.001,0.00982769,0,0.833333,0.01,242.094,190.971,163.062
0.001,0.00982769,0,0.833333,0.13,245.588,196.643,175.932
0.001,0.00982769,0,0.833333,0.17,246.315,198.317,178.544
0.001,0.00982769,0,1,0.05,242.721,192.902,170.278
0.001,0.00982769,0,1,0.09,243.873,194.454,174.363
0.001,0.00982769,0,0.666667,0.05,244.307,194.171,166.684
0.001,0.00982769,0,0.666667,0.09,245.455,196.184,171.433
0.001,0.00982769,0,0.5,0.25,249.255,202.165,181.158
0.001,0.00982769,0,0.666667,0.13,246.117,197.756,174.35
0.001,0.00982769,0,0.666667,0.25,248.579,201.529,182.029
0.001,0.00982769,0,0.666667,0.21,247.929,200.351,179.991
0.001,0.00982769,0,0.833333,0.05,243.346,193.379,168.696
0.001,0.00982769,0,0.833333,0.09,244.671,195.314,172.44
0.001,0.00982769,0,1,0.21,246.266,199.13,182.821
0.001,0.00982769,0,1,0.25,246.887,200.541,184.687
0.001,0.00982769,0,1,0.01,241.158,190.157,164.866
0.001,0.00982769,0.0277778,0,0.01,247.743,194.909,157.209
0.001,0.00982769,0,0.833333,0.21,247.258,199.491,181.204
0.001,0.00982769,0,0.833333,0.25,247.798,200.901,183.177
0.001,0.00982769,0,1,0.13,244.669,196.241,177.511
0.001,0.00982769,0.0277778,0,0.09,249.795,198.549,168.19
0.001,0.00982769,0,1,0.17,245.51,197.817,180.211
0.001,0.00982769,0.0277778,0,0.13,250.387,200.089,171.693
0.001,0.00982769,0.0277778,0,0.17,251.058,201.496,174.532
0.001,0.00982769,0.0277778,0,0.05,248.778,197.324,163.479
0.001,0.00982769,0.0277778,0.166667,0.05,247.77,196.355,163.563
0.001,0.00982769,0.0277778,0.166667,0.01,246.368,193.893,157.239
0.001,0.00982769,0.0277778,0.166667,0.09,248.702,197.839,168.614
0.001,0.00982769,0.0277778,0.166667,0.13,249.489,199.182,171.963
0.001,0.00982769,0.0277778,0,0.21,251.763,202.701,177.483
0.001,0.00982769,0.0277778,0,0.25,252.199,203.791,179.815
0.001,0.00982769,0.0277778,0.166667,0.17,250.089,200.66,175.085
0.001,0.00982769,0.0277778,0.333333,0.01,245.325,193.057,158.009
0.001,0.00982769,0.0277778,0.166667,0.21,250.7,201.877,177.285
0.001,0.00982769,0.0277778,0.166667,0.25,251.285,202.92,179.584
0.001,0.00982769,0.0277778,0.333333,0.05,246.71,195.416,164.677
0.001,0.00982769,0.0277778,0.333333,0.09,247.478,196.899,168.871
0.001,0.00982769,0.0277778,0.5,0.17,248.272,199.337,175.738
0.001,0.00982769,0.0277778,0.666667,0.01,243.347,191.328,160.487
0.001,0.00982769,0.0277778,0.5,0.21,248.653,200.562,178.176
0.001,0.00982769,0.0277778,0.333333,0.17,249.171,200.103,175.439
0.001,0.00982769,0.0277778,0.333333,0.13,248.276,198.442,172.437
0.001,0.00982769,0.0277778,0.333333,0.21,249.838,201.298,177.488
0.001,0.00982769,0.0277778,0.333333,0.25,250.545,202.479,180.187
0.001,0.00982769,0.0277778,0.666667,0.17,247.139,198.754,176.766
0.001,0.00982769,0.0277778,0.5,0.01,244.462,192.192,159.116
0.001,0.00982769,0.0277778,0.5,0.09,246.532,196.271,169.48
0.001,0.00982769,0.0277778,0.833333,0.01,242.382,190.545,162.379
0.001,0.00982769,0.0277778,0.5,0.05,245.584,194.529,165.123
0.001,0.00982769,0.0277778,0.666667,0.25,248.622,201.162,181.954
0.001,0.00982769,0.0277778,0.5,0.13,247.472,197.806,173.069
0.001,0.00982769,0.0277778,0.666667,0.21,247.99,199.894,179.533
